LotArea,1stFlrSF,2ndFlrSF
11317,840,828
159000,1444,700
5350,1306,0
4750,1625,0
8366,798,842
9350,1302,0
8400,1314,0
8738,1005,1286
8791,864,864
8814,1604,0
12435,963,829
12702,882,0
19296,1382,0
9588,1482,1092
8471,1212,0
5500,926,0
5232,764,0
12090,1422,0
11207,802,709
8400,1052,720
6900,778,0
7917,1113,0
10728,1095,844
39104,1363,0
11764,1164,1106
9600,1632,0
8314,816,0
7264,952,596
9196,1560,0
19138,864,0
14450,2121,0
10005,1156,866
11287,1175,807
7200,1262,0
5063,1314,0
9612,1468,0
8012,1575,0
4251,625,625
9786,1085,649
8125,858,0
9819,900,0
8730,698,698
15611,1079,840
5687,936,780
11409,1148,568
16659,1468,795
9600,1644,0
7937,1003,0
13710,910,648
7399,975,975
11700,1041,702
14000,1152,0
15750,1336,0
16226,1210,1242
13704,1541,0
9800,894,0
18386,1675,1818
10386,2000,0
13474,1122,1121
7920,1035,371
12342,861,0
12378,1944,0
7685,697,804
8000,972,0
7800,793,325
215245,2036,0
9600,832,809
7795,716,716
13005,1153,1200
9000,1088,871
9900,1372,1274
14115,1472,0
16259,1249,1347
12099,1136,1332
10380,1553,1177
5820,1163,0
11275,1898,1080
5000,803,0
10846,1719,0
11600,1383,0
11888,1445,689
6402,596,596
10624,1728,0
8176,1056,0
10655,1629,0
8198,1358,0
9042,943,695
164660,1619,167
14157,1922,0
9135,1536,0
14145,1621,0
12400,1215,0
14191,993,915
8400,841,0
8544,1040,0
8849,1684,0
2592,536,576
6435,972,605
12772,958,0
17600,1478,0
2448,764,862
20431,1848,880
7820,1869,0
5271,1453,0
9084,616,495
8520,720,0
8400,1192,403
11249,1200,0
9248,1167,0
4224,1142,0
6930,1352,0
12011,1086,838
7540,912,0
9144,988,517
7301,495,1427
1680,483,504
18800,790,784
10690,672,672
9500,1394,0
9150,1431,0
7800,1268,0
9830,1287,0
8121,953,711
17120,1120,468
7175,752,0
10634,1319,0
8200,847,1081
10020,904,0
8846,914,0
11143,1580,886
11394,1856,0
8123,1007,793
5000,1026,665
7200,1301,0
9245,939,858
9000,784,0
53107,1079,874
3182,1269,0
8410,658,526
7200,1125,0
9382,1479,0
12474,1742,590
8405,961,406
12209,804,1157
8339,882,0
7446,788,0
10134,735,299
9571,1144,0
7200,894,0
7590,876,936
8967,1077,0
8125,1112,438
14963,1288,0
8767,1310,0
10200,672,0
12090,1165,1098
10364,806,766
9991,1620,0
10480,1166,0
15576,840,840
14154,1071,1101
10800,1050,1028
9571,1276,0
34650,1056,0
4403,1478,0
8960,1028,0
11228,1080,1017
8899,1340,0
7844,672,728
22420,1370,1254
8160,756,378
8450,1056,0
7060,1344,0
16635,1602,0
21750,988,0
9200,1470,1160
9000,1196,0
3378,707,682
12800,1644,0
8593,907,0
6762,1208,0
11457,1412,0
1680,483,504
5586,1088,110
1920,765,600
10839,926,678
1890,630,0
10667,827,834
4400,734,384
6000,904,0
4280,694,0
12354,684,512
15431,2402,0
12108,1440,0
6240,1128,445
3922,1258,0
8750,933,975
9855,1689,0
16492,1888,0
11214,956,930
8600,780,596
6000,679,504
5684,813,0
70761,1533,0
9303,888,868
9000,786,804
9297,1728,0
9600,1242,0
4571,624,720
53227,1663,0
5100,833,833
7015,979,224
8004,832,1103
7200,575,560
8281,864,0
11988,849,811
8430,1040,0
3072,1414,0
10628,1277,0
9480,888,756
11428,1634,0
9291,832,878
6820,1502,0
11952,1161,808
3675,1072,0
14977,1976,0
5330,1652,0
8480,970,0
13125,1493,0
13693,2069,574
10637,1718,0
5925,1131,0
16033,1850,0
11846,1792,0
2500,916,910
4500,1216,0
7758,999,0
9600,1113,0
10289,1073,0
12243,1484,0
10800,1766,648
1526,630,0
2665,616,688
9490,958,620
15578,728,728
7931,1269,0
5784,886,0
7879,720,0
12692,3228,0
9120,1133,687
7800,899,0
7535,912,0
1890,672,546
9803,866,902
9170,1214,0
15602,1801,0
2308,855,467
7596,960,1000
9554,1065,846
7862,1218,0
9600,689,689
9600,1041,0
14559,1363,0
6792,1368,0
9100,864,0
9187,1080,0
10594,789,0
12220,2020,0
10448,1378,741
10208,1277,1067
9531,882,914
10918,1276,804
10800,694,600
11988,1244,0
5000,1004,660
40094,3138,1538
11787,1383,1015
7500,1266,0
13300,928,0
14948,1476,1237
9098,605,0
32668,2515,0
10200,1509,0
6155,751,611
7200,827,0
5000,334,0
9056,707,707
7000,820,527
8924,880,844
12735,864,0
11553,1159,0
11423,1601,0
14601,1838,0
11000,997,1288
10140,1680,0
4058,767,0
17104,664,832
13837,1377,806
8737,915,720
7244,768,0
8235,825,0
9375,912,1182
4043,1069,0
6000,928,0
11146,1717,0
8777,1126,0
10625,1006,1040
6380,1048,0
14850,1092,0
11040,897,439
21872,729,717
3196,1557,0
11341,1392,0
10010,1389,0
13907,996,0
21780,1163,511
13346,1166,1129
6858,841,806
11198,1134,1370
10171,1535,0
12327,1496,636
7032,943,0
13101,1728,0
7332,864,0
13159,846,846
9967,774,656
10500,576,533
8480,832,384
6292,877,600
11777,1320,0
3604,703,689
12150,1050,745
14585,1429,0
12704,2042,0
11841,816,0
13500,1521,1254
6120,989,584
11443,2028,0
10267,838,0
8740,860,0
25095,1473,0
9100,779,0
8320,770,812
13478,1728,568
6600,816,0
4435,848,0
7990,924,0
11302,1826,0
3600,684,684
3922,1402,0
12984,1647,0
1950,716,840
10927,1058,846
9000,780,595
10041,927,988
3182,600,600
12803,1494,0
13600,1186,800
12464,1040,0
7800,1112,896
12168,1940,1254
7943,1029,0
11050,1476,677
10395,1032,0
11885,1299,573
8402,1120,0
1491,630,0
8800,1054,0
7861,807,702
7227,832,0
11694,1828,0
12244,1482,780
8248,864,0
10800,1548,1066
7064,980,0
2117,756,756
10400,1012,778
10000,1116,0
12342,1422,0
9600,1520,0
11606,1040,1040
9020,1350,0
9000,1089,661
4590,1554,0
11900,1411,0
9250,1056,0
6979,1056,0
10896,1440,1440
6120,800,0
6000,811,576
8777,796,0
3982,1567,0
12677,1518,0
7050,1057,872
13860,2000,704
10793,780,840
9187,1766,0
10530,981,0
7200,1048,0
10452,1094,0
7700,1051,788
1936,630,0
8125,822,843
9084,755,755
8750,909,807
10320,756,713
10437,2113,0
1680,525,567
10007,1053,0
7200,851,651
17503,912,546
9937,1486,0
12384,1142,793
46589,1686,762
13560,1392,0
10012,1181,0
20896,2097,0
11194,1454,482
18450,1465,915
8125,1679,0
14175,1437,0
11600,1180,0
8633,738,738
6629,697,672
11250,1208,0
14442,1839,0
9200,1136,0
2289,855,586
9600,1095,679
9022,792,0
11844,2046,0
9945,988,0
8012,923,0
4500,848,672
2887,1291,0
11248,1668,0
16770,1195,644
5062,1190,900
10207,874,887
5105,551,551
8089,1419,0
7577,1362,0
4426,848,0
21535,2444,1872
26178,1238,1281
5400,1073,0
6120,1067,472
13811,1137,0
6000,616,0
6420,1148,0
8450,894,0
4282,1391,0
14331,1800,0
9600,1164,0
12438,1264,1312
7630,1032,780
8400,1484,0
5600,372,720
115149,1824,0
6240,1324,0
9018,728,728
7162,904,0
4130,729,0
8712,859,319
4671,1228,0
9873,960,0
13517,725,754
10140,1350,0
10800,1576,978
10000,1178,0
10542,1325,1093
9920,971,0
6563,1742,0
4426,848,0
8120,864,0
8172,997,473
13286,1698,0
6960,864,0
21695,1680,0
7314,1232,0
11475,1776,0
6240,848,0
5389,1616,0
9590,1146,0
11404,1153,878
10000,1144,0
8978,948,0
10800,880,888
8544,1040,0
10463,901,900
10800,1200,0
9313,864,864
9600,768,664
6768,912,0
8450,1349,0
12886,1464,0
5395,1337,0
8963,1175,1540
8795,980,1276
11700,1320,1320
10593,1720,0
8405,1088,441
8800,792,348
7750,660,660
9236,1494,0
10240,1038,1060
7930,1026,0
3230,742,729
10769,866,902
11616,672,714
2280,757,744
12257,1328,1203
9100,864,0
6911,1301,0
8640,764,783
9430,1268,1097
9549,1494,0
14587,1506,0
10421,980,734
12508,983,767
9100,1836,0
53504,1690,1589
7252,858,0
8877,1220,0
7819,1117,0
10150,912,0
14226,1973,0
4500,1204,0
11210,1614,0
13350,894,0
8400,2020,0
10530,1004,0
7875,1253,0
7153,810,793
16285,1430,0
9101,1110,0
6300,742,742
9790,1342,0
10800,966,686
10142,956,1128
6000,901,0
12205,976,1111
3182,1145,0
11333,1062,0
9920,1127,886
9158,1496,0
10832,1086,809
8400,888,676
8197,1285,0
7677,773,0
13518,1966,1174
7200,981,787
12798,616,1072
4800,1196,0
8199,728,728
13891,1734,1088
9000,1128,0
12274,1428,0
9750,980,0
21384,1072,504
13400,1086,0
8100,1075,1063
10140,1309,0
4438,848,0
8712,1044,0
9750,1442,0
8248,686,564
12137,1661,0
11425,1008,0
13265,1689,0
8816,1052,0
6371,1358,0
7226,798,842
6000,936,0
12394,847,886
9900,944,545
11216,1489,0
14803,2084,0
6130,784,0
8529,1434,0
28698,1160,966
2544,520,623
11900,1392,0
3180,520,600
9548,941,888
10004,1516,0
7875,1144,0
9600,1067,0
8100,1559,0
1680,483,504
9525,1099,0
11767,768,432
12155,810,672
10440,958,581
9020,1165,0
8000,1800,0
12665,876,540
16647,1701,0
9317,1006,769
15523,864,0
45600,1307,1051
9600,1094,761
4435,848,0
3196,1456,0
7128,918,728
12095,1445,0
17920,1779,0
6897,1040,0
10970,1026,0
8125,702,779
10400,1370,0
11029,1512,1142
7642,912,514
11625,1039,0
9672,1097,0
7931,1148,0
8640,1372,0
8750,1002,0
10656,1646,0
6970,1120,0
14762,1547,720
9938,1062,887
6600,894,0
8750,804,878
8892,910,0
12144,1036,0
5720,676,455
9000,1184,1426
25286,1040,0
8834,1462,762
11782,1155,0
7000,864,0
7024,1090,0
13758,1187,530
9636,808,785
6204,954,795
7150,892,0
5119,1709,0
8393,1712,0
16466,872,521
15865,2217,0
12160,1505,0
8064,672,252
11184,918,765
8414,1068,0
13284,1383,0
7018,1535,0
7056,983,813
8765,951,0
7018,1120,1120
12919,2364,0
6993,1236,0
7340,858,0
8712,1306,0
7875,807,702
14859,1670,0
6173,902,0
9920,1063,0
13501,1636,0
11500,1020,1037
8885,902,0
12589,742,742
11600,1105,1169
9286,1268,0
6120,1015,0
6270,1001,1001
3000,612,612
2001,546,546
9000,480,0
17140,1229,0
13125,912,1215
11029,1414,0
8462,936,785
8777,1272,928
10237,1316,0
8012,1617,0
10240,1686,0
15611,1126,0
11999,1234,1140
9900,1098,880
11838,1788,0
13006,993,1243
8925,1466,0
9100,925,0
11670,1905,0
8487,1500,0
27650,2069,0
5825,747,0
10083,1200,0
9675,1113,858
8760,1391,571
24090,1207,1196
12640,1728,0
8755,1022,1038
7711,1440,0
25000,1632,0
14375,1344,0
8820,1188,561
8163,1144,0
14536,1629,0
14006,936,840
9360,1381,0
7200,864,0
7800,965,0
7200,768,0
11075,1168,800
9400,980,0
7136,979,979
1300,561,668
7420,1057,0
8450,1337,0
2572,696,720
7207,858,0
12227,1542,1330
2308,804,744
11923,1800,0
11316,824,1070
10237,783,701
9600,976,332
7390,1098,0
5925,600,368
10382,1095,0
10800,720,472
2268,764,862
7892,918,0
11639,1428,0
11414,1136,883
2651,673,709
5900,869,0
4274,1241,0
9450,894,0
8816,1121,0
12122,999,0
12203,1276,1336
3182,1266,0
11250,1149,1141
10125,1302,432
10880,1164,0
5310,1001,634
10159,1940,0
12046,1118,912
8125,778,798
9452,1407,985
17671,916,826
9760,1020,831
8846,750,750
12456,1718,0
4712,774,456
10659,1050,0
11717,1442,0
9786,1077,0
6762,1208,0
10206,944,0
5400,691,0
11957,1574,0
11500,1680,0
3182,1504,0
8385,985,0
12155,1657,0
2217,546,546
12118,1710,0
6000,1008,0
21286,720,551
9825,1664,0
10592,900,602
7200,1022,0
11664,1082,0
8400,810,855
11883,1504,0
5814,1360,0
10784,802,670
3013,1506,0
7024,1132,0
7406,1220,0
9439,912,336
3182,1504,0
15498,2898,0
7700,882,0
9300,1264,0
9520,1646,0
9492,968,408
1680,672,546
7082,948,980
15863,1687,998
14541,1352,1168
8125,1654,0
6305,954,0
11500,845,0
12898,1620,0
9240,1055,1208
1533,798,546
1477,630,0
13125,1803,0
9130,800,832
5381,1306,0
11839,1532,797
9600,2524,0
13680,1733,0
16056,1992,876
9245,990,0
21750,1771,0
11100,930,0
8993,1302,0
11175,1316,0
9500,1127,850
8562,1526,0
11367,1091,898
11361,1523,0
7052,1364,0
29959,979,871
11308,1130,1054
11275,1096,895
4920,1338,0
18000,894,0
13600,1422,915
6000,1103,0
11000,1154,0
14000,1306,954
7837,799,772
9760,798,813
3964,1291,1230
9600,893,0
10152,1048,0
11700,829,727
7585,1002,454
7950,698,728
8556,1240,0
13125,960,780
10800,1096,370
15870,1096,0
4435,848,0
8775,990,0
11040,1258,0
7500,1040,0
8749,1459,0
8800,1251,0
13031,691,807
9069,996,0
1974,546,546
10574,1082,871
2522,970,739
3316,1247,0
8544,1040,0
2160,624,628
8400,1390,304
9230,1200,0
5868,936,0
9317,1314,0
6882,773,582
3696,1088,0
6000,757,567
11880,1601,0
8400,438,0
9758,950,0
7000,1134,0
8910,1194,0
2016,630,672
12256,1500,1122
10357,1442,0
23257,887,1134
8063,948,742
11362,1836,0
8000,773,885
10480,1098,866
7100,816,0
8923,1008,0
5400,833,0
12085,1734,0
7750,779,640
9764,894,0
13825,1021,580
7560,1040,0
8263,1012,0
10084,1552,0
8926,960,0
9405,698,0
9125,812,670
10434,1005,0
3684,1555,0
14572,1530,0
11796,847,1112
7200,936,0
7804,1328,653
10712,974,0
9900,1178,1032
9828,1142,878
8773,916,684
6180,986,0
9600,1032,220
6342,780,240
9819,1567,0
8731,1167,0
7350,952,0
10304,1088,780
9965,1466,1362
9000,1006,0
12180,672,252
6240,1042,534
11200,1298,0
12000,860,704
5700,572,539
9000,832,650
8280,932,0
17755,1466,0
14115,1811,0
5890,816,0
13700,902,918
10768,1437,0
9350,1265,0
5001,1314,0
11932,1580,0
9120,943,933
2280,855,601
14778,1640,0
8724,894,0
12900,1258,0
16157,1432,0
9541,1502,0
10475,1694,0
10852,959,712
13728,1236,872
35760,1831,1796
9880,1118,0
9120,1261,0
4017,625,625
18030,1636,971
16560,1170,1175
10678,2129,743
6951,923,0
3950,818,406
7681,820,523
8335,1124,0
11170,1298,1216
5587,1652,0
15623,2411,2065
10800,1130,0
35133,1572,0
9738,949,272
10615,1014,685
12461,1624,0
8935,831,829
7500,1028,776
32463,1622,0
2645,764,677
9600,842,630
4500,1224,0
9364,663,689
8029,728,728
14054,879,984
8850,815,875
9100,1212,0
11235,1382,0
9353,864,0
10400,866,913
6000,884,464
9750,1630,0
10140,1074,0
14684,2196,0
8900,1056,0
9135,1700,0
7763,1283,0
10182,1660,0
11218,1055,790
12134,1080,672
9340,672,0
10246,960,0
10205,999,0
7094,894,0
8930,1318,584
8640,1314,0
6240,672,240
1680,672,546
7800,912,0
8250,1211,0
10496,1168,678
10680,2136,0
15384,788,702
10482,1138,0
14598,894,1039
8872,912,0
8769,1702,0
7910,1507,0
18890,1361,1259
7728,1190,0
9842,1224,0
12160,1188,0
8525,1024,940
13132,892,892
2628,764,862
12393,847,1101
13072,1141,0
9037,1484,0
8158,884,884
9849,1689,0
10625,1173,0
13891,2076,0
11435,792,725
12090,1140,728
8125,756,797
12328,1034,0
9600,1134,924
7200,988,0
11160,2110,0
3136,1405,0
9858,874,0
17542,1516,651
6931,760,896
6240,959,408
14303,1987,0
4060,864,0
9587,1166,0
9750,1054,0
24682,892,783
9600,1050,0
11250,1104,684
13515,1060,764
4060,1337,0
3735,713,739
10120,964,925
13214,2018,0
14100,1968,1479
11344,874,650
23595,1332,192
9156,1489,0
13526,935,0
11512,1357,0
5362,661,589
11345,928,992
12936,735,660
17871,1724,0
9473,1128,903
7500,698,430
9808,1573,0
8049,1339,0
8800,1040,0
9400,912,912
9638,1699,748
6000,825,587
9790,1328,0
36500,1582,0
5664,1659,0
11065,1120,850
14112,1152,0
1680,630,672
6600,1378,994
10140,832,832
8172,864,0
8400,1052,0
8700,1128,0
3675,1072,0
63887,4692,950
7500,1246,0
10762,1005,978
7500,753,741
10120,1203,1323
8688,1616,0
3363,976,732
13173,1652,0
6955,1368,0
8072,990,0
12000,1122,0
7153,1294,0
17500,1902,0
8814,1274,0
9572,1453,1357
14774,1422,1177
8190,948,0
11075,1092,1020
10226,1630,0
4230,1352,0
14781,1787,0
10215,948,0
8400,1478,0
6627,720,0
10186,1061,862
5330,708,0
9986,1795,0
3636,796,0
4270,774,0
6600,816,0
10440,1584,1208
9084,955,677
10000,1588,0
10780,954,0
8877,816,0
7200,803,557
2368,765,600
9650,1334,0
9246,1656,0
4118,693,0
13450,920,941
9560,864,0
8294,872,0
13695,1114,0
9375,1284,885
7558,1172,741
11103,728,728
6000,960,0
20781,2156,0
15306,1776,0
16196,1494,0
5250,938,1215
11643,1338,1296
9247,858,858
6000,786,390
14720,2053,1185
10316,992,873
10192,1222,698
9477,892,0
12537,1078,0
2117,769,804
16737,1980,0
9842,990,1611
16158,1530,0
12513,1281,457
8499,616,796
3180,520,600
7500,814,860
9179,882,908
2665,925,550
4435,848,0
10635,1668,0
5400,840,534
9600,1661,0
9750,1108,989
11400,2633,0
10625,1026,932
10991,1571,0
6292,790,0
10998,984,620
1953,483,504
9735,754,640
8212,864,0
12925,2117,0
7200,998,764
25339,1416,0
9060,698,560
5436,796,358
16692,1392,1392
8520,1664,862
14892,1746,0
6000,869,349
9100,1525,0
8944,1584,0
7838,900,0
10800,1221,691
4045,1500,0
12665,1133,1349
57200,1687,0
6120,939,574
7200,1136,768
6171,1160,448
6000,950,208
7415,864,729
6762,1294,0
15256,1464,0
10410,694,520
3842,1646,0
8445,768,0
8780,833,0
7740,741,622
20544,1236,857
12420,944,896
9600,1112,556
7200,1040,0
10994,1844,0
13053,1053,795
3635,1569,0
11340,1246,1044
16545,1310,1140
9204,1144,0
16381,1844,0
11700,708,708
4043,1069,0
4435,848,0
19690,1575,626
9503,1344,0
10721,1252,0
10944,1223,904
10930,1048,510
7200,804,0
12546,1440,0
21930,734,1104
4928,958,0
10800,968,0
10261,962,830
17400,1126,0
8400,1537,0
9000,864,0
12444,1932,0
7407,1236,0
11584,1040,685
11526,1423,748
4426,848,0
11003,1026,981
8854,952,0
8500,1422,0
8400,913,0
26142,1188,0
10000,1220,870
11767,796,550
1533,630,0
9000,896,896
9262,1578,0
3675,1072,0
17217,1140,0
7500,1221,0
7917,953,694
13175,2073,0
9042,1188,1152
9717,1078,0
9937,1256,0
